gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cnot10,27.913467969671,0.0425585089851738,0.14983637980704,0.400325750738221,0.993518557544854
Sept2,57.9995868514134,0.0425211011053361,0.130342140296375,0.395890220571862,0.993518557544854
Emg1,151.504472162477,0.04247496639882,0.114420999429491,0.358009911746944,0.993518557544854
Eif2s2,38.8997991467325,0.0424667737897358,0.142686888997107,0.404763346319899,0.993518557544854
St3gal2,7.82011598636159,0.0424262652023743,0.190892663799866,0.324274392502424,0.993518557544854
Rad21,139.485786931828,0.0423362330285923,0.121880880605562,0.381396735218096,0.993518557544854
Hmgcl,30.3993388951551,0.0423153661898487,0.148376241714495,0.403740863185192,0.993518557544854
Anapc13,146.72194607374,0.0423001948299679,0.134042677001517,0.402515588197887,0.993518557544854
Ndufb7,164.646813883747,0.0422852438240115,0.108877333598448,0.339253761495666,0.993518557544854
Iqgap3,6.96713255053345,0.0422690143385727,0.208695841944599,0.307237955840375,0.993518557544854
Ncoa4,10.6471317137048,0.0422242836008799,0.177127322202108,0.350519943876746,0.993518557544854
Nudt5,41.2128750829627,0.0422152219682585,0.139509193928418,0.406785092271631,0.993518557544854
Nt5c,81.3298875811941,0.0422071758830546,0.125504424754196,0.390822805597121,0.993518557544854
Stt3a,97.8242249292032,0.0421945238536036,0.122794368043815,0.385092146921983,0.993518557544854
Ubald2,22.6040855094138,0.0421708404311857,0.154782969060273,0.397755963937452,0.993518557544854
Gpank1,16.3036352974381,0.0421506795784492,0.16372799518999,0.38122729474286,0.993518557544854
Fbxo3,36.8943074073807,0.04205372588384,0.140700564163018,0.408583525131746,0.993518557544854
Rabac1,67.0181843652387,0.04202963542118,0.12568725337816,0.393040259248901,0.993518557544854
Msrb2,8.47029087747664,0.0419971458284257,0.197874044091355,0.318928341778917,0.993518557544854
Rfc1,33.7173857458792,0.0419267585751355,0.14826642030323,0.407350322830507,0.993518557544854
Mocs1,13.1368449004402,0.0418659350515073,0.170583923506135,0.368052630930915,0.993518557544854
Dhrs3,9.99251909713634,0.0418629077758834,0.191243615071664,0.328296655277806,0.993518557544854
Rab5a,37.2310209717478,0.0418487186013008,0.140337730434489,0.410481041992916,0.993518557544854
Suclg1,78.7786539807296,0.0417940068358642,0.120498033764763,0.383752580889458,0.993518557544854
Immt,55.0227273728834,0.041760231872789,0.129441913954524,0.402304894915755,0.993518557544854
Dzip1,7.99402303262689,0.041706783539534,0.196836906456421,0.322447449229655,0.993518557544854
Eif3m,110.499880977488,0.0416955121987024,0.112754170163767,0.361017942289679,0.993518557544854
Eps15,29.593923920036,0.0416803480358587,0.147242088743328,0.410347672136556,0.993518557544854
Anp32a,281.770079289129,0.0416645542061649,0.117904500035658,0.37805100117261,0.993518557544854
Cenpi,7.47296191515048,0.0415851901383897,0.194504720816545,0.326224957488515,0.993518557544854
Apitd1,57.6033616937823,0.0415430130899629,0.146775937395132,0.41191719482129,0.993518557544854
Calm1,160.143500679675,0.0414999995808363,0.110347382357353,0.354310453034985,0.993518557544854
Mrps28,53.4885440964824,0.0414714646133885,0.134085228767228,0.410789195984949,0.993518557544854
Rps27rt,4695.63048479897,0.0413658709267202,0.0933821565693474,0.270752061084212,0.993518557544854
Stag1,39.5115281422858,0.0413394201986373,0.147185505455721,0.4135413804631,0.993518557544854
Acadm,20.4464497985644,0.0412922017909922,0.156646895043391,0.402505321884941,0.993518557544854
Slc39a1,24.0906186706715,0.041268662185936,0.154715397260405,0.40582953244805,0.993518557544854
Gtse1,20.756840397425,0.0412328980088139,0.16156041512629,0.393655421445152,0.993518557544854
Nmral1,34.5517636419249,0.04121759062094,0.144741696113821,0.415993318907822,0.993518557544854
Cryl1,33.0279800544334,0.0412033892295148,0.161379158332929,0.39428819472702,0.993518557544854
1700017B05Rik,18.9504975455986,0.0411439227782241,0.163051161224454,0.391251515666863,0.993518557544854
Gins4,34.0635822379407,0.0410921962889899,0.142912195207488,0.417710653384065,0.993518557544854
Galk1,27.4183842328442,0.0410622066224084,0.153716907794315,0.409155325997137,0.993518557544854
Atg4b,20.1209852990209,0.0410473576819249,0.157526800646269,0.403135302093009,0.993518557544854
